NAME,COLOR_COMBINATION,DATE,MALE_PUPPIES,FEMALE_PUPPIES,TOTAL_PUPPIES
KUUNHOHTEEN,blue merle & tricolour,10.11.2018,4,5,9
BLUEMEADOW'S,sable & tricolour,10.11.2018,1,2,3
SMARTTEAMS,sable & tricolour,9.11.2018,1,3,4
SMARTTEAMS,black and white & blue merle,6.11.2018,2,3,5
TARUAARTEEN,blue merle & tricolour,1.11.2018,1,3,4
KEPPOSEN,sable & tricolour,28.10.2018,2,5,7
TRICKY BLUE'S,blue merle & tricolour,27.10.2018,1,2,3
TRICKY BLUE'S,blue merle & tricolour,24.10.2018,2,2,4
KVARNGÅRDEN,blue merle & tricolour,23.10.2018,1,2,3
PRIMEMIND,blue merle & tricolour,22.10.2018,2,2,4
SNOWGLOW'S,blue merle & tricolour,22.10.2018,2,2,4
NEITI NÄPPÄRÄN,sable & tricolour,21.10.2018,2,0,2
COPYSTYLE,blue merle & tricolour,20.10.2018,2,1,3
BACKYARD'S FELLOWS,blue merle & tricolour,20.10.2018,1,1,2
KANGASVUOKON,blue merle & tricolour,20.10.2018,3,0,3
AMOR'JADE,blue merle & tricolour,19.10.2018,0,1,1
HALOILMIÖN,sable & sable,17.10.2018,2,1,3
SNOWPAW,null & sable,17.10.2018,3,1,4
ESSUNTASSUN,black and white & blue merle,15.10.2018,3,0,3
MEI DAN,sable & sable,13.10.2018,0,1,1
JÄPÄLÄN,black and white & blue merle,13.10.2018,2,3,5
BERNOBAN,black and white & tricolour,12.10.2018,1,1,2
GWENDA,sable & sable,10.10.2018,2,2,4
SHET UP,blue merle & tricolour,10.10.2018,2,2,4
FULLMOON DIAMONDS,sable & tricolour,9.10.2018,3,2,5
TODAY'S,blue merle & tricolour,8.10.2018,2,1,3
SHETWOOD,black and white & tricolour,7.10.2018,3,1,4
DALIMATTAS,sable & sable,7.10.2018,1,2,3
TOIVEIDEN,blue merle & tricolour,7.10.2018,2,1,3
WANNADREAM'S,blue merle & tricolour,5.10.2018,1,1,2
TOFFYTAIL,sable & sable,5.10.2018,2,1,3
NOOPELIN,blue merle & tricolour,3.10.2018,1,3,4
TUULITUKAN,sable & tricolour,2.10.2018,1,2,3
SILIMEN,blue merle & tricolour,27.9.2018,2,3,5
KAITAKUONON,blue merle & tricolour,21.9.2018,0,1,1
BLACK SARA'S,sable & sable,21.9.2018,1,2,3
BOSOM BUDDY'S,sable & tricolour,19.9.2018,2,4,6
SHEEPWHISPER'S,sable & sable,18.9.2018,1,2,3
PÄÄTTYMÄTÖN,blue merle & tricolour,17.9.2018,1,0,1
RONSHET'S,sable & sable,17.9.2018,1,0,1
BLUEMEADOW'S,blue merle & tricolour,16.9.2018,1,3,4
ANYWAY,sable & sable,16.9.2018,1,3,4
ANYWAY,sable & tricolour,16.9.2018,1,2,3
ONNENPISARAN,sable & sable,16.9.2018,2,0,2
JAGASAR,sable & tricolour,13.9.2018,2,2,4
TOIVESADUN,sable & sable,12.9.2018,3,1,4
IHMETASSUN,blue merle & tricolour,11.9.2018,1,2,3
SHADELAND,sable & tricolour,11.9.2018,3,1,4
GOLDEN ROSE,blue merle & tricolour,10.9.2018,3,3,6
REVONHÄNNÄN,blue merle & tricolour,8.9.2018,1,1,2
BLENMOON,sable & sable,6.9.2018,1,0,1
NAPPULAVAARAN,sable & tricolour,6.9.2018,1,4,5
,sable & tricolour,4.9.2018,0,2,2
KEIJULEHDON,tricolour & tricolour,3.9.2018,1,5,6
,black and white & sable,2.9.2018,1,1,2
BLUEMEADOW'S,blue merle & tricolour,30.8.2018,2,1,3
BERNOBAN,blue merle & tricolour,28.8.2018,1,2,3
ONNENPISARAN,sable & sable,26.8.2018,3,1,4
BLUEMEADOW'S,blue merle & tricolour,25.8.2018,2,2,4
PYRYTUULEN,black and white & blue merle,24.8.2018,2,2,4
KUUNHOHTEEN,blue merle & tricolour,23.8.2018,3,3,6
BERNOBAN,blue merle & tricolour,22.8.2018,1,2,3
SHETFUN,blue merle & tricolour,21.8.2018,1,3,4
NAPPULAVAARAN,sable & tricolour,20.8.2018,1,2,3
TOFFYTAIL,sable & sable,20.8.2018,2,4,6
KIITÄJÄN,sable & tricolour,19.8.2018,2,2,4
PARSIALAN,sable & sable,18.8.2018,2,2,4
AMARANTES,blue merle & tricolour,14.8.2018,0,1,1
VIOLETDREAM,sable & sable,13.8.2018,3,2,5
MUTKIS,blue merle & tricolour,11.8.2018,1,1,2
HUNAJATASSUN,sable & sable,8.8.2018,2,0,2
ANYWAY,sable & sable,8.8.2018,2,2,4
ZETLAND'S,sable & sable,7.8.2018,2,1,3
JA-KAR,blue merle & tricolour,7.8.2018,2,2,4
TOIVEIDEN,tricolour & tricolour,4.8.2018,0,1,1
ESMARI,sable & tricolour,3.8.2018,2,0,2
KETTURETKU,sable & tricolour,31.7.2018,3,2,5
KULTALAN,sable & tricolour,27.7.2018,5,0,5
TOIVEIDEN,sable & tricolour,26.7.2018,3,1,4
IHMETASSUN,sable & tricolour,26.7.2018,1,1,2
CIMILLAN,black and white & blue merle,26.7.2018,2,3,5
,tricolour & tricolour,25.7.2018,1,3,4
CHEERYMAI,blue merle & tricolour,23.7.2018,3,2,5
SHANDY'S,sable & tricolour,21.7.2018,4,2,6
PIRPANAN,blue merle & tricolour,21.7.2018,1,2,3
SUSADAN,blue merle & tricolour,19.7.2018,3,1,4
WILLIWÄYLÄ,sable & tricolour,17.7.2018,0,2,2
,blue merle & tricolour,17.7.2018,1,5,6
BUSTLING'S,blue merle & tricolour,16.7.2018,3,1,4
SHADELAND,tricolour & tricolour,15.7.2018,3,1,4
MINTOLAN,blue merle & tricolour,10.7.2018,2,1,3
FELIWING'S,blue merle & tricolour,8.7.2018,2,0,2
GWENDA,sable & sable,7.7.2018,5,0,5
SHELMIAN,sable & sable,3.7.2018,1,0,1
STARSONG,tricolour & tricolour,2.7.2018,1,1,2
DEEP ILLUSION'S,blue merle & tricolour,1.7.2018,1,3,4
DASH'ING,blue merle & tricolour,1.7.2018,1,3,4
DASH'ING,sable & sable,28.6.2018,2,1,3
SUSADAN,black and white & blue merle,28.6.2018,1,2,3
LINNAISTEN,blue merle & tricolour,26.6.2018,4,0,4
SOMEWHAT,blue merle & tricolour,26.6.2018,1,1,2
BUMTSI BUM,tricolour & tricolour,25.6.2018,0,4,4
MUTKIS,blue merle & tricolour,25.6.2018,4,2,6
CLASSICWAY,sable & sable,25.6.2018,1,1,2
SOUND'S,sable & tricolour,25.6.2018,1,2,3
SPRUCEVALLEYS,sable & tricolour,24.6.2018,3,3,6
STARSONG,blue merle & tricolour,21.6.2018,4,1,5
USVASAAREN,sable & sable,19.6.2018,0,5,5
YAZINA'S,sable & sable,18.6.2018,2,0,2
VICWAY,tricolour & tricolour,18.6.2018,0,3,3
YAZINA'S,sable & sable,17.6.2018,2,3,5
KIVIVUOREN,sable & sable,16.6.2018,3,0,3
KARTIOSUMUN,sable & tricolour,15.6.2018,2,0,2
BUMTSI BUM,blue merle & tricolour,14.6.2018,3,2,5
LYSTI-KÄMÄ,blue merle & tricolour,13.6.2018,0,1,1
BLUEMEADOW'S,sable & tricolour,11.6.2018,3,2,5
DOGBAY'S,sable & sable,10.6.2018,2,3,5
BUMTSI BUM,blue merle & tricolour,7.6.2018,1,2,3
PILVIKIRSIKAN,sable & sable,6.6.2018,1,3,4
KARVAKEDON,sable & tricolour,5.6.2018,3,2,5
SHADOWMIST,sable & sable,4.6.2018,0,2,2
,blue merle & tricolour,4.6.2018,4,2,6
LÄHDERINTEEN,sable & sable,1.6.2018,3,0,3
ZETLAND'S,sable & sable,1.6.2018,2,0,2
PELTSUN,sable & sable,30.5.2018,1,1,2
HÄIVÄHDYKSEN,blue merle & tricolour,29.5.2018,2,2,4
KÄPÄLÄKOPLAN,blue merle & tricolour,27.5.2018,2,3,5
NICE TRY,sable & sable,25.5.2018,1,0,1
GOLDEN ROSE,blue merle & tricolour,25.5.2018,3,3,6
FIKSUNTÄHEN,sable & tricolour,22.5.2018,2,2,4
NEKAROS,blue merle & tricolour,18.5.2018,2,2,4
JELISAN,tricolour & tricolour,18.5.2018,1,2,3
KUUNHOHTEEN,blue merle & tricolour,18.5.2018,3,2,5
BLACK SHEPARD'S,blue merle & tricolour,17.5.2018,0,5,5
PÄIVÄNPAISTEEN,blue merle & tricolour,13.5.2018,3,1,4
MEI DAN,sable & tricolour,11.5.2018,4,0,4
JOYSTORY,sable & sable,9.5.2018,2,2,4
ESSUNTASSUN,sable & tricolour,7.5.2018,2,2,4
SUNSWEET,blue merle & tricolour,4.5.2018,1,2,3
SUMMER RAIN,blue merle & tricolour,4.5.2018,4,0,4
AMOR'JADE,sable & tricolour,3.5.2018,2,1,3
DREAMHILL,sable & sable,29.4.2018,2,2,4
SPRUCEVALLEYS,blue merle & tricolour,29.4.2018,2,1,3
AQINTA'S,black and white & sable,27.4.2018,2,4,6
PÄIVÄNPAISTEEN,sable & tricolour,26.4.2018,2,1,3
MIGHTY DOGS,sable & sable,24.4.2018,4,2,6
TRICKY BLUE'S,blue merle & tricolour,23.4.2018,3,2,5
TAIKATUOKION,sable & sable,23.4.2018,1,1,2
AMOROSAN,sable & sable,22.4.2018,2,0,2
SUMMER RAIN,blue merle & tricolour,21.4.2018,3,1,4
PELTSUN,sable & tricolour,21.4.2018,3,0,3
BLUEMEADOW'S,sable & sable,19.4.2018,1,2,3
BERNOBAN,blue merle & tricolour,19.4.2018,4,0,4
KANGASVUOKON,sable & tricolour,14.4.2018,1,1,2
ROSEBRIDGE'S,blue merle & tricolour,14.4.2018,1,1,2
PIHLAJAPIRTIN,tricolour & tricolour,11.4.2018,1,0,1
PIKIKUONON,blue merle & tricolour,10.4.2018,1,3,4
,sable & tricolour,10.4.2018,2,2,4
KAUNISSAAREN,tricolour & tricolour,8.4.2018,1,1,2
HAPPY MASTER'S,sable & sable,8.4.2018,2,1,3
KHIMAIRAN,black and white & blue merle,8.4.2018,3,0,3
TARUAARTEEN,sable & tricolour,6.4.2018,0,2,2
HAPPY MASTER'S,tricolour & tricolour,6.4.2018,1,2,3
KYTÖKOSKEN,sable & sable,5.4.2018,3,2,5
STARSONG,sable & tricolour,4.4.2018,3,0,3
